timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 08:27:11.011, 0, 200.71 W, 32, 757 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.019, 1, 192.22 W, 36, 570 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.029, 2, 250.38 W, 33, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.035, 3, 212.77 W, 36, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.040, 4, 178.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.060, 5, 180.70 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.067, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:11.074, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 0, 185.16 W, 32, 480 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 1, 187.92 W, 35, 360 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 2, 216.65 W, 32, 1005 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 3, 187.16 W, 36, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 4, 178.93 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 5, 180.62 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 6, 178.26 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:12.082, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.082, 0, 182.69 W, 31, 300 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.082, 1, 185.88 W, 35, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.082, 2, 192.00 W, 32, 630 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.082, 3, 186.27 W, 36, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.082, 4, 178.78 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.083, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.083, 6, 177.92 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:13.083, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 0, 181.41 W, 31, 195 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 1, 185.07 W, 35, 150 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 2, 188.44 W, 31, 397 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 3, 185.69 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 4, 178.92 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 6, 177.90 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 08:27:14.083, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
