timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 07:09:22.666, 0, 188.17 W, 30, 285 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.674, 1, 225.07 W, 33, 382 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.683, 2, 210.18 W, 30, 330 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.691, 3, 249.52 W, 35, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.701, 4, 179.44 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.709, 5, 180.59 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.727, 6, 177.32 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:22.735, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 0, 180.30 W, 30, 165 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 1, 184.88 W, 33, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 2, 185.33 W, 30, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 3, 238.59 W, 34, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 4, 179.00 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 5, 180.59 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 6, 177.36 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:23.743, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:24.743, 0, 179.91 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:24.743, 1, 183.20 W, 33, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:09:24.743, 2, 184.09 W, 30, 150 MHz, 3996 MHz, 0 %, 0 %
