timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 07:30:41.701, 0, 186.48 W, 30, 285 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.709, 1, 249.78 W, 34, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.713, 2, 221.41 W, 31, 742 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.723, 3, 193.81 W, 34, 622 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.728, 4, 178.89 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.739, 5, 180.70 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.745, 6, 178.60 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:41.758, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.762, 0, 180.88 W, 30, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.762, 1, 219.20 W, 34, 1005 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 2, 188.96 W, 30, 465 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 3, 188.83 W, 34, 397 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 4, 179.07 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 5, 180.66 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 6, 178.52 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:42.763, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 0, 180.07 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 1, 190.71 W, 33, 630 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 2, 186.23 W, 30, 292 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 3, 186.43 W, 34, 247 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 4, 178.78 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 6, 178.18 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:43.763, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 0, 179.51 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 1, 187.32 W, 33, 397 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 2, 184.56 W, 30, 187 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 3, 184.95 W, 33, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 4, 178.85 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 6, 178.17 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:44.763, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:30:45.763, 0, 179.65 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
