timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 07:56:21.814, 0, 189.61 W, 31, 285 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.821, 1, 212.79 W, 35, 337 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.832, 2, 221.81 W, 31, 390 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.842, 3, 250.21 W, 36, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.846, 4, 179.40 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.853, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.866, 6, 178.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:21.878, 7, 176.61 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 0, 181.43 W, 31, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 1, 185.39 W, 34, 210 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 2, 186.16 W, 31, 247 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 3, 239.10 W, 36, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 4, 178.88 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 5, 180.60 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 6, 178.11 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:22.892, 7, 176.63 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:23.892, 0, 180.14 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 07:56:23.892, 1, 184.81 W, 34, 135 MHz, 3996 MHz, 0 %, 0 %
