timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 23:21:57.498, 0, 211.26 W, 32, 810 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.502, 1, 189.43 W, 35, 465 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.507, 2, 249.04 W, 33, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.511, 3, 192.12 W, 36, 592 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.516, 4, 178.77 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.523, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.531, 6, 177.21 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:57.538, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 0, 185.27 W, 32, 510 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 1, 186.45 W, 35, 292 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 2, 205.31 W, 32, 832 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 3, 188.98 W, 36, 412 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 4, 178.73 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 6, 177.13 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:58.546, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 0, 182.77 W, 31, 322 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 1, 185.02 W, 35, 172 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 2, 189.76 W, 32, 525 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 3, 186.97 W, 35, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 4, 178.68 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 6, 177.61 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:21:59.546, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 0, 181.38 W, 31, 202 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 1, 184.91 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 2, 187.03 W, 31, 330 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 3, 186.09 W, 35, 150 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 6, 177.50 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:00.546, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 0, 180.37 W, 31, 135 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 1, 184.50 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 2, 185.53 W, 31, 210 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 3, 185.07 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 4, 178.83 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 6, 177.28 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:01.547, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 0, 180.11 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 1, 184.76 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 2, 184.10 W, 31, 135 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 3, 184.99 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 4, 179.11 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 6, 177.42 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:02.547, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:03.547, 0, 180.11 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:03.547, 1, 184.12 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:03.547, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:22:03.547, 3, 184.97 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
