timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 23:02:34.106, 0, 189.43 W, 32, 705 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.111, 1, 191.65 W, 35, 615 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.117, 2, 249.14 W, 33, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.121, 3, 190.24 W, 36, 495 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.126, 4, 178.93 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.133, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.141, 6, 178.64 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:34.148, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 0, 184.40 W, 31, 442 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 1, 187.79 W, 35, 420 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 2, 220.47 W, 32, 1012 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 3, 187.75 W, 35, 315 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 4, 178.94 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 6, 178.49 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:35.156, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 0, 182.04 W, 31, 277 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 1, 185.30 W, 34, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 2, 191.22 W, 31, 637 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 3, 186.53 W, 35, 195 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 4, 178.85 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 6, 178.41 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:36.156, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 0, 180.78 W, 31, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 1, 184.88 W, 34, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 2, 187.81 W, 31, 405 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 3, 185.04 W, 35, 127 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 4, 179.25 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 6, 178.52 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:37.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 0, 180.09 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 1, 183.77 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 2, 185.88 W, 31, 255 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 3, 184.98 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 4, 179.25 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 6, 178.34 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:38.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 0, 180.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 1, 184.27 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 2, 184.11 W, 31, 165 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 3, 184.98 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 4, 179.32 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 6, 178.49 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:39.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 1, 183.63 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 2, 183.99 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 3, 184.99 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 4, 179.20 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 6, 178.53 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:40.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 1, 183.78 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 3, 184.97 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 4, 179.10 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 6, 178.25 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:41.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 0, 180.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 1, 183.32 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 2, 184.00 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 3, 184.98 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 4, 179.21 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 6, 178.52 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:42.157, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 1, 183.05 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 3, 184.98 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 4, 179.21 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 6, 178.45 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:43.158, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 0, 180.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 1, 183.04 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 3, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 4, 179.40 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 6, 178.33 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:44.158, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 0, 180.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 1, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 3, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 4, 179.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 5, 180.62 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 6, 178.56 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:45.158, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 0, 180.09 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 1, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 2, 183.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 3, 184.98 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 4, 179.47 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 6, 178.22 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:46.158, 7, 176.59 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 0, 180.08 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 1, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 3, 184.96 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 4, 179.05 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 6, 178.33 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:47.158, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 0, 180.09 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 1, 183.01 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 2, 183.99 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 3, 184.97 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 4, 179.06 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 6, 178.45 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:48.158, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.158, 0, 180.10 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.158, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.158, 2, 184.00 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.158, 3, 184.88 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.159, 4, 179.28 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.159, 6, 178.38 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:49.159, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 0, 180.06 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 2, 183.99 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 3, 184.84 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 4, 179.21 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 6, 178.45 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:50.159, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 0, 180.10 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 2, 184.01 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 3, 184.89 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 4, 178.99 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 6, 178.52 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:51.159, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 0, 180.11 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 2, 184.00 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 3, 184.57 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 4, 179.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 6, 178.26 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:52.159, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 0, 180.10 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 2, 183.99 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 3, 184.67 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 4, 179.14 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 6, 178.60 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:53.159, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 0, 180.10 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 2, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 3, 184.77 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 4, 179.05 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 23:02:54.159, 6, 178.49 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
