timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 22:53:54.803, 0, 181.83 W, 31, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.809, 1, 248.80 W, 34, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.812, 2, 213.22 W, 31, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.818, 3, 191.33 W, 34, 615 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.823, 4, 179.21 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.830, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.838, 6, 178.18 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:54.845, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 0, 180.22 W, 30, 150 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 1, 219.35 W, 34, 1005 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 2, 185.41 W, 30, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 3, 187.96 W, 34, 382 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 4, 179.40 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 6, 178.33 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:55.853, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 0, 179.92 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 1, 190.40 W, 33, 630 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 2, 183.98 W, 30, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 3, 185.50 W, 34, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 4, 179.08 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 6, 178.41 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:56.853, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 0, 179.91 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 1, 187.13 W, 33, 397 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 3, 184.95 W, 34, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 4, 179.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 6, 178.41 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:57.853, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 0, 179.99 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 1, 185.07 W, 33, 255 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 3, 184.27 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 4, 178.88 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 6, 178.41 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:58.853, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 0, 179.96 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 1, 184.38 W, 33, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 2, 183.98 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 3, 184.30 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 4, 179.24 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 6, 178.22 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:53:59.854, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 0, 179.93 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 1, 183.04 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 2, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 3, 184.13 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 4, 179.00 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 6, 178.34 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:00.854, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 0, 180.00 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 2, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 3, 184.49 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 4, 179.13 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 6, 178.29 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:01.854, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 0, 179.96 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 2, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 3, 184.14 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 4, 179.05 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 6, 178.29 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:02.854, 7, 176.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 22:54:03.854, 0, 180.00 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
