timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 13:12:36.646, 0, 178.35 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.654, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.663, 2, 182.04 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.671, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.679, 4, 178.96 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.687, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.696, 6, 177.94 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:36.704, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 0, 178.40 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 2, 182.04 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 4, 179.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 6, 178.60 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:37.713, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 0, 178.56 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 2, 182.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 4, 179.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.713, 5, 180.93 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.716, 6, 178.64 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:38.716, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 0, 178.81 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 2, 182.04 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 4, 179.71 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 5, 181.88 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 6, 178.60 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:39.716, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 0, 178.52 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 2, 182.04 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 4, 179.91 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 5, 181.83 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 6, 178.63 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:40.716, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 0, 178.29 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 2, 182.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 4, 179.70 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 5, 182.17 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.716, 6, 178.63 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:41.717, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 0, 178.13 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 2, 182.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 4, 179.73 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 5, 182.06 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 6, 178.64 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:42.717, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 0, 178.25 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 2, 182.02 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 3, 182.88 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 4, 179.66 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 5, 182.33 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 6, 178.64 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:43.717, 7, 176.62 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 0, 178.36 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 2, 182.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 4, 179.93 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 5, 182.07 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 6, 178.64 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:44.717, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 0, 178.17 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 1, 181.06 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 2, 182.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 4, 179.81 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 5, 182.02 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 6, 178.63 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:45.717, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 0, 178.43 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 1, 181.05 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 2, 182.03 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 3, 182.89 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 4, 179.84 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:12:46.717, 5, 181.94 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
