timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/23 13:20:45.071, 0, 231.75 W, 31, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.075, 1, 205.99 W, 33, 900 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.080, 2, 223.78 W, 30, 892 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.085, 3, 191.32 W, 33, 562 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.090, 4, 179.04 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.098, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.107, 6, 178.34 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:45.115, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 0, 218.03 W, 30, 390 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 1, 188.81 W, 33, 562 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 2, 190.28 W, 30, 562 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 3, 187.56 W, 33, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 4, 178.87 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 6, 178.33 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:46.123, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 0, 181.73 W, 30, 247 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 1, 185.93 W, 32, 360 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 2, 187.08 W, 29, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 3, 185.87 W, 33, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 4, 179.04 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 6, 178.41 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:47.123, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 0, 180.15 W, 29, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 1, 184.64 W, 32, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 2, 185.38 W, 29, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 3, 184.84 W, 33, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 4, 178.96 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 6, 178.29 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:48.123, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.123, 0, 180.00 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.123, 1, 183.01 W, 32, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.123, 2, 183.98 W, 29, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.123, 3, 184.84 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.124, 4, 178.82 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.124, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.124, 6, 178.52 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:49.124, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 0, 180.01 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 1, 183.01 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 2, 183.98 W, 29, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 3, 184.84 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 4, 178.92 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 5, 180.58 W, 28, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/23 13:20:50.124, 6, 178.33 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
