timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 06:24:21.599, 0, 186.04 W, 32, 472 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.610, 1, 213.36 W, 36, 645 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.623, 2, 250.60 W, 33, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.631, 3, 235.09 W, 37, 405 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.638, 4, 179.28 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.644, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.656, 6, 177.87 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:21.661, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 0, 182.99 W, 32, 300 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 1, 188.43 W, 35, 405 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 2, 238.20 W, 33, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 3, 187.49 W, 36, 255 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 4, 178.94 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 6, 177.94 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:22.681, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 0, 181.42 W, 32, 187 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 1, 186.56 W, 35, 255 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 2, 190.80 W, 32, 285 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 3, 186.43 W, 36, 165 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 4, 178.64 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 6, 177.92 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:23.681, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 0, 180.18 W, 31, 127 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 1, 184.98 W, 35, 165 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 2, 185.96 W, 32, 180 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 3, 185.43 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 4, 178.69 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 6, 177.82 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:24.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 0, 180.11 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 1, 184.95 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 2, 184.64 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 3, 185.98 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 4, 178.72 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 6, 177.76 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:25.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 0, 180.11 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 1, 184.96 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 3, 185.49 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 4, 178.74 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 6, 177.99 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:26.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 0, 180.11 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 1, 184.90 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 3, 185.17 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 4, 178.70 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 6, 177.79 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:27.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 1, 184.82 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 2, 184.10 W, 31, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 3, 185.10 W, 35, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 4, 178.73 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 6, 177.88 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:28.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 1, 184.51 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 3, 185.06 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 4, 178.66 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:29.682, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 1, 184.23 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 3, 185.03 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.682, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.683, 6, 177.91 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:30.683, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 1, 183.72 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 2, 184.10 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 3, 185.02 W, 34, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 4, 178.76 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 6, 177.84 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:31.683, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:32.683, 0, 180.11 W, 30, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:24:32.683, 1, 183.34 W, 33, 120 MHz, 3996 MHz, 0 %, 0 %
