timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%]
2026/03/24 06:35:06.654, 0, 207.93 W, 33, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.661, 1, 191.80 W, 37, 562 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.670, 2, 251.81 W, 34, 2032 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.675, 3, 226.88 W, 38, 382 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.686, 4, 179.04 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.694, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.705, 6, 177.54 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:06.713, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 0, 182.51 W, 33, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 1, 188.01 W, 37, 352 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 2, 217.19 W, 34, 765 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 3, 188.46 W, 38, 240 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 4, 178.87 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 6, 177.50 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:07.727, 7, 176.59 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 0, 181.79 W, 33, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 1, 186.09 W, 37, 225 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 2, 190.83 W, 33, 487 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 3, 186.98 W, 37, 157 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 4, 178.65 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 6, 177.51 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:08.727, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 0, 180.54 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 1, 185.19 W, 36, 142 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 2, 188.02 W, 33, 307 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 3, 186.93 W, 37, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 4, 178.64 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 6, 177.48 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:09.727, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 0, 180.18 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 1, 185.07 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 2, 186.27 W, 32, 195 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 3, 187.01 W, 37, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 4, 178.86 W, 25, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 5, 180.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 6, 177.61 W, 26, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:10.727, 7, 176.58 W, 27, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:11.727, 0, 180.35 W, 32, 120 MHz, 3996 MHz, 0 %, 0 %
2026/03/24 06:35:11.727, 1, 185.07 W, 36, 120 MHz, 3996 MHz, 0 %, 0 %
